epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1.1993,0.7273,1.0606,0.89155,0.81376,0.88965,0.55608,1.2952,0.90724,1.4709,0.0011486,0.0011486,0.0011486
46,1.1843,0.72017,1.0506,0.81609,0.83789,0.87961,0.54282,1.3627,0.91267,1.5062,0.0011288,0.0011288,0.0011288
47,1.1778,0.70697,1.0471,0.85386,0.80018,0.88225,0.55406,1.4142,0.91326,1.5345,0.001109,0.001109,0.001109
48,1.1668,0.69242,1.0401,0.8892,0.79193,0.86591,0.5557,1.3907,1.1002,1.5555,0.0010892,0.0010892,0.0010892
49,1.1611,0.69137,1.0492,0.88798,0.83554,0.90134,0.57936,1.3082,1.0395,1.5252,0.0010694,0.0010694,0.0010694
50,1.1715,0.68928,1.0338,0.85629,0.83135,0.89502,0.54628,1.3399,0.93145,1.537,0.0010496,0.0010496,0.0010496
51,1.1669,0.68498,1.0271,0.873,0.83169,0.90258,0.5883,1.2413,0.97859,1.4076,0.0010298,0.0010298,0.0010298
52,1.152,0.68134,1.0316,0.87677,0.84124,0.8964,0.56092,1.3442,0.7737,1.5206,0.00101,0.00101,0.00101
53,1.1298,0.66965,1.0295,0.89256,0.84418,0.91394,0.58501,1.3034,0.90215,1.5099,0.0009902,0.0009902,0.0009902
54,1.1434,0.66931,1.0235,0.9128,0.85397,0.92196,0.59936,1.2478,0.8008,1.4463,0.0009704,0.0009704,0.0009704
55,1.1347,0.66025,1.0199,0.88427,0.84043,0.90375,0.5866,1.2778,0.91843,1.4688,0.0009506,0.0009506,0.0009506
56,1.1473,0.66035,1.0239,0.86463,0.85976,0.9001,0.57168,1.3175,0.87052,1.5706,0.0009308,0.0009308,0.0009308
57,1.1148,0.6514,1.0288,0.90273,0.8286,0.90316,0.58425,1.2886,0.85668,1.5076,0.000911,0.000911,0.000911
58,1.1331,0.65865,1.022,0.88598,0.83318,0.89504,0.58078,1.2472,0.8913,1.4269,0.0008912,0.0008912,0.0008912
59,1.1138,0.6359,1.0157,0.8855,0.8435,0.91206,0.58453,1.371,0.87575,1.5698,0.0008714,0.0008714,0.0008714
60,1.1248,0.651,1.0169,0.91181,0.84143,0.91011,0.58117,1.3708,0.81324,1.5246,0.0008516,0.0008516,0.0008516
61,1.1368,0.65824,1.0233,0.89486,0.84326,0.91467,0.60647,1.2433,0.86649,1.4289,0.0008318,0.0008318,0.0008318
62,1.1347,0.64262,1.0129,0.89424,0.84479,0.91307,0.59023,1.2475,0.75098,1.4595,0.000812,0.000812,0.000812
63,1.0989,0.63274,1.018,0.86984,0.84693,0.9042,0.57091,1.3008,0.85303,1.5032,0.0007922,0.0007922,0.0007922
64,1.0888,0.62433,1.0114,0.86327,0.8561,0.90448,0.5838,1.3282,0.9078,1.5237,0.0007724,0.0007724,0.0007724
